2026-08-20 15:02:00,375 | INFO | predict_service | Loading model on device: cpu
2026-08-20 15:02:00,782 | INFO | predict_service | Model loaded successfully.
2026-08-20 15:02:07,164 | INFO | main | MolRAG-DDI API starting up...
2026-08-20 15:02:07,164 | INFO | main | Model and services ready.
2026-08-20 15:04:51,707 | INFO | prediction_router | Request received: warfarin + aspirin
2026-08-20 15:04:51,707 | WARNING | prediction_router | Validation failed: Drug not found: 'warfarin'
2026-08-20 15:04:57,594 | INFO | prediction_router | Request received: warfarin + aspirin
2026-08-20 15:04:57,594 | WARNING | prediction_router | Validation failed: Drug not found: 'warfarin'
2026-08-25 11:09:25,165 | INFO | predict_service | Loading model on device: cpu
2026-08-25 11:09:25,737 | INFO | predict_service | Model loaded successfully.
2026-08-25 11:09:28,733 | INFO | main | MolRAG-DDI API starting up...
2026-08-25 11:09:28,733 | INFO | main | Model and services ready.
2026-08-25 11:12:00,064 | INFO | prediction_router | Request received: Warfarin + Aspirin
2026-08-25 11:12:00,065 | WARNING | prediction_router | Validation failed: Drug not found: 'Warfarin'
2026-08-25 11:12:32,289 | INFO | prediction_router | Request received: warfarin + Aspirin
2026-08-25 11:12:32,290 | WARNING | prediction_router | Validation failed: Drug not found: 'warfarin'
2026-08-25 11:12:40,917 | INFO | prediction_router | Request received: Warfarin + Aspirin
2026-08-25 11:12:40,917 | WARNING | prediction_router | Validation failed: Drug not found: 'Warfarin'
2026-08-25 17:59:16,580 | INFO | predict_service | Loading model on device: cpu
2026-08-25 17:59:17,249 | INFO | predict_service | Model loaded successfully.
2026-08-25 17:59:18,469 | INFO | main | MolRAG-DDI API starting up...
2026-08-25 17:59:18,469 | INFO | main | Model and services ready.
2026-08-25 17:59:22,847 | INFO | prediction_router | Request received: Berotralstat + Aspirin
2026-08-25 17:59:22,847 | WARNING | prediction_router | Validation failed: Drug not found: 'Berotralstat'
2026-08-25 17:59:25,524 | INFO | prediction_router | Request received: Berotralstat + Aspirin
2026-08-25 17:59:25,525 | WARNING | prediction_router | Validation failed: Drug not found: 'Berotralstat'
2026-08-26 12:42:54,888 | INFO | predict_service | Loading model on device: cpu
2026-08-26 12:42:55,858 | INFO | predict_service | Model loaded successfully.
2026-08-26 12:42:57,699 | INFO | main | MolRAG-DDI API starting up...
2026-08-26 12:42:57,700 | INFO | main | Model and services ready.
2026-09-04 19:52:54,814 | INFO | predict_service | Loading model on device: cpu
2026-09-04 19:52:55,484 | INFO | predict_service | Model loaded successfully.
