drug_name,molecular_weight,n_hba,n_hbd,logp
Saxagliptin,315.194677,4,2,1.15798
Berotralstat,562.2104223,6,3,5.70188
Pentosan polysulfate,601.9223416,17,6,-4.8106
Vorapaxar,492.2424358,5,1,5.6295
Simvastatin,418.2719243,5,1,4.5856
Naltrexone,341.1627082,5,2,1.5254
Promazine,284.1347196,3,0,4.241
Formoterol,344.1736072,5,4,2.2233
Clofarabine,303.0534451,8,3,-0.3494
Deferoxamine,560.3533625,9,6,0.9221
Vinorelbine,778.3941647,11,2,4.7536
Entrectinib,560.2711308,6,3,5.0269
Atenolol,266.1630426,4,3,0.4521
Pentoxifylline,278.1378904,7,0,0.193
Doxylamine,270.1732133,3,0,2.9233
Primidone,218.1055277,2,2,0.5379
Thiethylperazine,399.1802899,5,0,5.0388
Metolazone,365.0600901,4,2,2.71412
Acetohexamide,324.1143781,4,2,2.2098
Quinine,324.183778,4,1,3.1732
Prednisone,358.1780239,5,2,1.7658
Roflumilast,402.0349541,4,1,5.0309
Hydrocortisone,362.2093241,5,3,1.7816
Disulfiram,296.0509326,4,0,3.6212
Isoniazid,137.0589118,3,2,-0.3149
Sulfasalazine,398.0684905,7,3,3.7016
Neratinib,556.1989665,8,2,5.93248
Triamcinolone,394.1791668,6,4,0.6205
Lapatinib,580.1347322,8,2,6.1391
Acebutolol,336.2049074,5,3,2.3655
Epoprostenol,352.2249741,4,3,3.4085
Quazepam,386.0267599,2,0,5.0262
Propranolol,259.1572289,3,2,2.5775
Methimazole,114.0251692,2,1,1.08269
Aluminum hydroxide,77.98975759,3,0,-0.9112
Docetaxel,807.3466054,14,5,3.2596
Ivacaftor,392.2099928,3,3,5.081
Bromocriptine,653.2212815,6,3,3.1928
Deferasirox,373.106256,6,3,3.7107
Warfarin,308.104859,4,1,3.6096
Tolbutamide,270.1038134,3,2,1.78302
Tramadol,263.188529,3,1,2.6346
Eluxadoline,569.2638192,6,4,4.15904
Clemastine,343.1702921,2,0,5.1044
Escitalopram,324.1637915,3,0,3.81298
Carboplatin,371.044498,6,2,0.4932
Kanamycin,484.238058,15,11,-7.2914
Sorafenib,464.0863027,4,3,5.5497
Lactitol,344.1318616,11,9,-5.7612
Efavirenz,315.0273909,2,1,4.0731
Flurbiprofen,244.0899579,1,1,3.6808
Carbamazepine,236.094963,1,1,3.3872
Vandetanib,474.1066663,6,1,5.0042
Imipramine,280.1939488,2,0,3.875
Levocetirizine,388.1553703,4,1,3.1482
Clarithromycin,747.4768913,14,4,2.4397
Darolutamide,398.1258015,6,3,2.67008
Linezolid,337.1437843,5,1,1.1236
Chloroquine,319.1815255,3,1,4.8106
Levodopa,197.0688078,4,4,0.0522
Eribulin,729.4088117,12,2,3.438
Clotrimazole,344.1080262,2,0,5.3767
Alfuzosin,389.2063043,8,2,1.3507
